,Im7,bIIM7,IIm7(b5),IIIm7(b5),bIIIM7,IVm7,IV7,#IVm7(b5),Vm7,bVIM7,bVII7,bVIIM7,VIIm7
Jazz,0.004,0.004,0.012,,0.002,0.016,0.015,0.002,0.009,0.003,0.018,0.003,0.003
Choro,,0.006,,,0.002,0.019,0.003,,0.013,0.005,0.001,0.003,
Samba,,0.005,0.000,,,0.008,,0.001,0.000,,0.001,,
Tom Jobim,0.010,0.011,0.003,,0.003,0.038,0.028,0.003,0.015,0.007,0.011,0.013,0.001
Ivan Lins,0.004,0.006,0.002,0.000,0.002,0.016,0.011,0.001,0.019,0.004,0.022,0.009,0.001
Chico Buarque,0.005,0.007,0.003,,0.001,0.031,0.017,0.002,0.012,0.005,0.001,0.006,0.003
Edu Lobo,0.007,0.013,0.002,,0.002,0.009,0.018,0.005,0.030,0.002,0.011,0.006,0.001
Caetano Veloso,0.001,0.002,0.002,,0.003,0.010,0.006,0.002,0.005,0.016,0.011,0.014,0.001
Djavan,0.005,0.005,0.002,0.001,0.007,0.026,0.029,0.005,0.011,0.009,0.014,0.007,
João Bosco,0.007,0.004,0.001,,,0.018,0.021,0.003,0.010,0.002,0.011,0.001,0.003
Milton Nascimento,0.010,0.019,0.001,,0.006,0.011,0.021,0.001,0.027,0.001,0.009,0.042,0.007
Gilberto Gil,0.001,0.002,0.001,,0.002,0.011,0.040,,0.025,0.002,0.012,0.024,0.001
Rita Lee,0.002,0.003,,,0.005,0.016,0.055,0.002,0.007,0.005,0.011,0.016,
Carlos Lyra,0.004,0.004,,,,0.022,0.025,0.007,0.006,0.009,0.014,,
Dori Caymmmi,0.003,0.008,0.002,,0.002,0.024,0.016,0.013,0.018,,0.004,0.014,0.002
Cartola,,,,,,0.017,0.001,0.002,,,,,
Gonzaguinha,0.001,0.007,,,0.001,0.015,0.011,,0.018,0.002,0.003,0.003,0.004
