,1H1a,1H1b,1H1c,1H1d,1H1e,1H2a,1H2b,1H3a,1H3b,1H3c,1H4a,1H4b,1H4c,1H4d
Jazz,"(20, 0.833)","('0M', 0.199)",0.840,0.440,"('M4M', 0.208)","('I', 0.198)","('V|I', 0.115)","('Y', 0.37)","('Y0', 0.2)","('z|7Y', 0.169)",0.986,240,"('Dm7', 0.035)","(5.0, 0.486)"
Choro,"(14, 0.583)","('5M', 0.288)",0.700,0.060,"('M9m', 0.233)","('I', 0.278)","('V|I', 0.157)","('Y', 0.429)","('Y0', 0.428)","('Y|7V', 0.105)",0.775,86,"('F', 0.091)","(5.0, 0.333)"
Samba,"(18, 0.75)","('7M', 0.177)",0.820,0.880,"('M9m', 0.333)","('I', 0.285)","('V|I', 0.168)","('Y', 0.458)","('Y0', 0.452)","('Y|7V', 0.112)",0.740,84,"('G7', 0.077)","(5.0, 0.374)"
Tom Jobim,"(20, 0.833)","('0M', 0.175)",0.760,0.520,"('M3M', 0.126)","('I', 0.203)","('V|I', 0.057)","('Y', 0.361)","('z0', 0.177)","('z|7Y', 0.089)",0.923,358,"('Dm7', 0.036)","(5.0, 0.319)"
Ivan Lins,"(18, 0.75)","('2M', 0.143)",0.840,0.380,"('M3M', 0.133)","('I', 0.209)","('V|I', 0.07)","('Y', 0.412)","('z2', 0.106)","('Y|0Y', 0.113)",0.884,336,"('Bm7.9', 0.02)","(5.0, 0.323)"
Chico Buarque,"(20, 0.833)","('2M', 0.126)",0.680,0.580,"('M9m', 0.156)","('I', 0.185)","('V|I', 0.091)","('Y', 0.423)","('Y0', 0.205)","('Y|7Z', 0.063)",0.786,229,"('A7', 0.044)","(5.0, 0.302)"
Edu Lobo,"(20, 0.833)","('0M', 0.113)",0.540,0.440,"('M4M', 0.122)","('I', 0.228)","('V|I', 0.072)","('Y', 0.39)","('z0', 0.116)","('Y|0Y', 0.092)",0.839,364,"('Am7', 0.027)","(0.0, 0.261)"
Caetano Veloso,"(18, 0.75)","('0M', 0.24)",0.840,0.580,"('M10M', 0.12)","('I', 0.233)","('V|I', 0.119)","('Y', 0.342)","('V0', 0.233)","('z|7Y', 0.126)",0.965,167,"('C', 0.061)","(5.0, 0.434)"
Djavan,"(15, 0.625)","('9m', 0.14)",0.740,0.620,"('M9m', 0.093)","('I', 0.197)","('V|I', 0.078)","('Y', 0.389)","('z0', 0.166)","('z|7Y', 0.095)",0.932,230,"('Am7', 0.034)","(5.0, 0.356)"
João Bosco,"(14, 0.583)","('4M', 0.169)",0.560,0.700,"('m0M', 0.179)","('I', 0.243)","('V|I', 0.08)","('Y', 0.398)","('Y0', 0.138)","('Y|7Y', 0.076)",0.908,276,"('B7', 0.033)","(5.0, 0.314)"
Milton Nascimento,"(17, 0.708)","('2m', 0.156)",0.520,0.400,"('m0M', 0.103)","('I', 0.354)","('I|I', 0.117)","('V', 0.304)","('V0', 0.254)","('V|0V', 0.049)",0.717,218,"('G', 0.064)","(0.0, 0.295)"
Gilberto Gil,"(18, 0.75)","('0M', 0.178)",0.840,0.540,"('M9m', 0.132)","('I', 0.245)","('V|I', 0.093)","('Y', 0.431)","('Y0', 0.233)","('Y|7Y', 0.081)",0.928,206,"('A7', 0.04)","(5.0, 0.353)"
Rita Lee,"(15, 0.625)","('2M', 0.169)",0.840,0.740,"('M5M', 0.179)","('I', 0.248)","('V|I', 0.09)","('Y', 0.389)","('V0', 0.281)","('z|7Y', 0.083)",0.962,147,"('E7', 0.052)","(5.0, 0.332)"
Carlos Lyra,"(18, 0.75)","('2M', 0.236)",0.900,0.533,"('M5M', 0.143)","('I', 0.214)","('V|I', 0.094)","('Y', 0.367)","('z0', 0.25)","('z|7Y', 0.159)",0.940,162,"('Bm7', 0.044)","(5.0, 0.412)"
Dori Caymmmi,"(17, 0.708)","('2M', 0.202)",0.692,0.269,"('m3M', 0.172)","('I', 0.255)","('V|I', 0.102)","('Y', 0.371)","('Y0', 0.111)","('Y|0Y', 0.091)",0.698,198,"('A9', 0.037)","(0.0, 0.305)"
Cartola,"(11, 0.458)","('0M', 0.235)",0.900,0.700,"('M8M', 0.286)","('V', 0.199)","('V|I', 0.141)","('Y', 0.375)","('z0', 0.263)","('z|7Y', 0.152)",0.923,122,"('E7', 0.052)","(5.0, 0.508)"
Gonzaguinha,"(16, 0.667)","('7M', 0.175)",0.600,0.600,"('m3M', 0.25)","('I', 0.205)","('V|I', 0.097)","('z', 0.365)","('z0', 0.264)","('z|7Y', 0.1)",0.911,161,"('Am7', 0.037)","(5.0, 0.376)"
