,Z,Y,X,W,V,z,y,x,w,v
Jazz,0.185,0.370,0.005,0.006,0.028,0.311,0.044,0.020,0.008,0.024,
Choro,0.008,0.429,,0.001,0.245,0.030,0.008,0.034,0.002,0.243,
Samba,0.016,0.458,0.000,,0.262,0.038,0.011,0.024,0.001,0.190,
Tom Jobim,0.192,0.361,0.008,0.011,0.022,0.284,0.025,0.042,0.015,0.038,
Ivan Lins,0.212,0.412,0.002,0.002,0.067,0.265,0.028,0.004,0.008,0.001,
Chico Buarque,0.167,0.423,0.001,0.012,0.036,0.249,0.046,0.034,0.006,0.026,
Edu Lobo,0.177,0.390,0.007,0.006,0.039,0.253,0.049,0.027,0.027,0.026,
Caetano Veloso,0.096,0.342,0.002,0.013,0.233,0.201,0.026,0.023,0.003,0.060,
Djavan,0.171,0.389,0.005,0.005,0.063,0.271,0.040,0.035,0.006,0.015,
João Bosco,0.130,0.398,0.002,0.003,0.066,0.254,0.036,0.024,0.039,0.049,
Milton Nascimento,0.133,0.194,0.001,0.004,0.304,0.292,0.013,0.005,0.015,0.040,
Gilberto Gil,0.112,0.431,,0.002,0.195,0.198,0.009,0.013,0.006,0.035,
Rita Lee,0.062,0.389,0.002,0.002,0.288,0.185,0.014,0.013,0.003,0.043,
Carlos Lyra,0.196,0.367,,0.011,0.032,0.311,0.028,0.047,0.003,0.005,
Dori Caymmmi,0.168,0.371,0.011,0.006,0.142,0.229,0.032,0.011,0.006,0.024,
Cartola,0.180,0.375,,0.010,0.045,0.291,0.043,0.047,0.001,0.009,
Gonzaguinha,0.132,0.347,0.001,,0.073,0.365,0.042,0.005,0.009,0.025
