,V-proto,V-var,W-proto,W-var,X-proto,X-var,Y-proto,Y-var,Z-proto,Z-var,v-proto,v-var,w-proto,w-var,x-proto,x-var,y-proto,y-var,z-proto,z-var
Jazz,0.028,,0.003,0.004,0.001,0.004,0.200,0.169,0.132,0.053,0.021,0.003,0.002,0.006,0.016,0.003,0.033,0.011,0.193,0.118
Choro,0.243,0.002,0.001,,,,0.428,0.001,0.001,0.007,0.243,0.000,0.002,,0.034,,0.008,,0.010,0.020
Samba,0.261,0.001,,,0.000,,0.452,0.006,0.006,0.009,0.190,0.000,0.001,,0.024,,0.011,,0.037,0.001
Tom Jobim,0.015,0.007,0.005,0.006,0.007,0.001,0.089,0.272,0.099,0.094,0.032,0.006,0.011,0.004,0.030,0.012,0.016,0.009,0.177,0.108
Ivan Lins,0.033,0.034,0.000,0.002,,0.002,0.059,0.352,0.085,0.127,0.001,0.000,0.002,0.005,0.003,0.001,0.017,0.011,0.069,0.197
Chico Buarque,0.032,0.004,0.012,0.001,0.001,,0.205,0.218,0.061,0.107,0.020,0.006,0.005,0.001,0.030,0.003,0.043,0.003,0.130,0.119
Edu Lobo,0.033,0.006,0.002,0.004,0.006,0.001,0.049,0.341,0.071,0.106,0.014,0.012,0.015,0.012,0.017,0.010,0.039,0.010,0.116,0.137
Caetano Veloso,0.233,,0.011,0.002,0.001,0.001,0.202,0.141,0.066,0.030,0.060,,0.002,0.001,0.023,,0.026,0.001,0.150,0.050
Djavan,0.045,0.018,0.005,0.001,0.005,,0.064,0.325,0.106,0.065,0.010,0.005,0.002,0.005,0.026,0.009,0.038,0.002,0.166,0.105
João Bosco,0.054,0.012,0.002,0.001,0.001,0.001,0.138,0.260,0.045,0.085,0.026,0.023,0.031,0.008,0.018,0.006,0.028,0.008,0.108,0.146
Milton Nascimento,0.254,0.049,0.001,0.002,,0.001,0.063,0.131,0.069,0.063,0.033,0.007,0.014,0.001,0.005,,0.012,0.001,0.150,0.142
Gilberto Gil,0.191,0.004,0.002,,,,0.233,0.198,0.064,0.048,0.035,0.001,0.004,0.002,0.013,,0.009,,0.159,0.038
Rita Lee,0.281,0.007,0.002,,,0.002,0.268,0.121,0.047,0.015,0.043,,0.003,,0.011,0.002,0.014,,0.163,0.023
Carlos Lyra,0.030,0.002,0.011,,,,0.057,0.311,0.109,0.086,0.005,,0.003,,0.040,0.007,0.028,,0.250,0.061
Dori Caymmi,0.033,0.109,0.004,0.002,0.008,0.003,0.111,0.260,0.049,0.119,0.021,0.003,0.003,0.003,0.010,0.001,0.031,0.001,0.093,0.137
Cartola,0.039,0.006,0.010,,,,0.234,0.141,0.103,0.077,0.009,,0.001,,0.047,,0.041,0.001,0.263,0.028
Gonzaguinha,0.048,0.025,,,,0.001,0.126,0.221,0.079,0.053,0.025,,0.007,0.002,0.005,,0.042,,0.265,0.100
