,bIIm7,bIIIm7,IIIM7,bVM7,bVIm7,VIM7,bVIIm7
Jazz,0.001,0.003,0.001,,0.003,0.001,
Choro,,,,,,,
Samba,,,,,,,
Tom Jobim,0.001,0.001,0.002,0.001,0.005,0.001,0.004
Ivan Lins,0.000,,,,0.001,0.002,0.001
Chico Buarque,0.001,0.004,0.001,,0.003,,0.008
Edu Lobo,0.001,0.005,0.004,,0.007,,0.003
Caetano Veloso,,,,,0.001,,0.001
Djavan,,0.006,,0.001,0.003,0.001,
João Bosco,,0.001,,,0.006,,0.005
Milton Nascimento,0.004,0.010,,,0.004,,0.009
Gilberto Gil,,0.001,0.002,,0.001,0.002,0.001
Rita Lee,,0.001,,,,,0.001
Carlos Lyra,,0.005,,,0.004,,0.004
Dori Caymmi,0.003,,,,0.003,,0.003
Cartola,,,,,,,0.001
Gonzaguinha,0.001,0.004,,,0.002,,0.011
