,u,P,p,A,a,S,s
Jazz,0.115,0.268,0.259,0.141,0.136,0.044,0.037
Choro,0.051,0.175,0.327,0.195,0.156,0.053,0.043
Samba,0.245,0.167,0.305,0.128,0.113,0.018,0.025
Tom Jobim,0.166,0.274,0.309,0.104,0.104,0.027,0.016
Ivan Lins,0.253,0.170,0.300,0.106,0.078,0.052,0.041
Chico Buarque,0.241,0.202,0.314,0.114,0.081,0.028,0.019
Edu Lobo,0.200,0.203,0.288,0.143,0.111,0.030,0.025
Caetano Veloso,0.177,0.196,0.327,0.122,0.148,0.019,0.013
Djavan,0.194,0.224,0.229,0.151,0.142,0.029,0.031
João Bosco,0.254,0.188,0.295,0.094,0.111,0.028,0.029
Milton Nascimento,0.397,0.166,0.256,0.085,0.064,0.023,0.008
Gilberto Gil,0.224,0.155,0.318,0.148,0.130,0.016,0.009
Rita Lee,0.299,0.177,0.296,0.097,0.098,0.027,0.006
Carlos Lyra,0.150,0.270,0.286,0.125,0.121,0.028,0.019
Dori Caymmmi,0.236,0.238,0.269,0.123,0.089,0.026,0.019
Cartola,0.221,0.230,0.319,0.088,0.101,0.031,0.012
Gonzaguinha,0.227,0.219,0.304,0.113,0.108,0.019,0.009
